[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
770.131	84.395	78.356	268.974	271.977
770.069	108.137	76.300	269.461	272.468
770.007	81.483	74.199	269.943	272.959
769.945	80.851	72.072	270.421	273.449
769.882	95.609	69.938	270.893	273.941
769.820	80.949	67.821	271.359	274.431
769.758	45.899	65.745	271.816	274.922
769.696	16.313	63.739	272.264	275.413
769.634	23.452	61.835	272.702	275.904
769.572	79.654	60.070	273.126	276.394
769.510	65.850	58.486	273.535	276.885
769.448	-19.115	57.131	273.929	277.376
769.386	21.393	56.056	274.306	277.867
769.324	89.357	55.313	274.670	278.358
769.262	92.928	54.947	275.024	278.848
769.200	72.792	54.985	275.376	279.339
769.138	18.033	55.435	275.733	279.830
769.075	3.137	56.283	276.101	280.321
769.013	118.889	57.499	276.484	280.812
768.951	124.466	59.045	276.883	281.302
768.889	33.140	60.881	277.297	281.794
768.827	54.988	62.966	277.724	282.284
768.765	95.500	65.264	278.163	282.775
768.703	59.515	67.738	278.612	283.266
768.641	-34.750	70.355	279.068	283.757
768.579	-18.565	73.084	279.532	284.247
768.517	44.065	75.893	280.001	284.738
768.455	36.641	78.751	280.476	285.229
768.393	48.230	81.630	280.954	285.720
768.330	68.441	84.499	281.435	286.211
768.268	58.607	87.330	281.920	286.701
768.206	42.099	90.095	282.407	287.192
768.144	55.914	92.766	282.896	287.683
768.082	84.034	95.317	283.387	288.174
768.020	58.564	97.722	283.880	288.665
767.958	43.528	99.958	284.374	289.155
767.896	53.469	102.002	284.869	289.647
767.834	30.096	103.834	285.366	290.137
767.772	49.488	105.434	285.864	290.628
767.710	90.952	106.787	286.362	291.119
767.648	68.439	107.877	286.862	291.610
767.586	71.849	108.695	287.362	292.100
767.523	100.908	109.230	287.863	292.591
767.461	97.329	109.477	288.365	293.082
767.399	93.522	109.432	288.867	293.573
767.337	114.392	109.095	289.369	294.064
767.275	135.619	108.470	289.872	294.554
767.213	84.231	107.562	290.374	295.045
767.151	57.401	106.380	290.877	295.536
767.089	106.463	104.935	291.379	296.027
767.027	103.501	103.244	291.881	296.518
766.965	53.150	101.323	292.381	297.008
766.903	30.005	99.194	292.879	297.500
766.841	85.152	96.880	293.373	297.990
766.778	89.516	94.407	293.861	298.481
766.716	37.470	91.807	294.335	298.972
766.654	42.596	89.117	294.778	299.463
766.592	51.980	86.408	295.125	299.953
766.530	81.051	84.008	294.959	300.444
766.468	149.059	83.805	294.065	300.935
766.406	104.214	84.900	294.233	301.426
766.344	45.059	86.141	294.638	301.917
766.282	94.330	87.426	295.101	302.407
766.220	115.693	88.742	295.587	302.898
766.158	97.306	90.092	296.085	303.389
766.096	82.581	91.483	296.588	303.880
766.034	84.256	92.921	297.097	304.370
765.971	79.533	94.412	297.608	304.861
765.909	77.952	95.964	298.122	305.352
765.847	116.890	97.579	298.638	305.843
765.785	146.974	99.262	299.156	306.334
765.723	134.052	101.015	299.675	306.825
765.661	94.443	102.839	300.196	307.315
765.599	89.166	104.731	300.719	307.806
765.537	123.305	106.690	301.243	308.297
765.475	145.008	108.710	301.768	308.788
765.413	94.169	110.785	302.296	309.278
765.351	92.370	112.906	302.825	309.770
765.289	174.333	115.065	303.357	310.260
765.226	136.180	117.249	303.891	310.751
765.164	56.292	119.448	304.427	311.242
765.102	52.632	121.646	304.967	311.733
765.040	121.345	123.832	305.510	312.223
764.978	126.232	125.991	306.056	312.714
764.916	70.093	128.109	306.608	313.205
764.854	63.392	130.175	307.164	313.696
764.792	74.875	132.179	307.727	314.187
764.730	84.086	134.112	308.297	314.678
764.668	95.334	135.971	308.875	315.168
764.606	109.407	137.758	309.464	315.659
764.544	114.367	139.479	310.063	316.150
