[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
390.447	768.350	0.000	-19.956
390.385	768.472	0.000	-19.272
390.323	768.594	0.000	-18.591
390.261	768.716	0.000	-17.916
390.199	768.839	0.000	-17.244
390.137	768.961	0.000	-16.578
390.075	769.083	0.000	-15.917
390.013	769.206	0.001	-15.260
389.951	769.328	0.001	-14.608
389.889	769.451	0.001	-13.962
389.826	769.573	0.001	-13.323
389.764	769.696	0.001	-12.690
389.702	769.818	0.001	-12.066
389.640	769.941	0.002	-11.450
389.578	770.064	0.002	-10.844
389.516	770.186	0.002	-10.249
389.454	770.309	0.002	-9.665
389.392	770.432	0.002	-9.095
389.330	770.555	0.003	-8.538
389.268	770.678	0.003	-7.994
389.206	770.801	0.003	-7.464
389.144	770.924	0.003	-6.947
389.082	771.047	0.004	-6.444
389.019	771.170	0.004	-5.955
388.957	771.293	0.004	-5.482
388.895	771.416	0.004	-5.030
388.833	771.539	0.005	-4.608
388.771	771.662	0.005	-4.221
388.709	771.786	0.005	-3.869
388.647	771.909	0.005	-3.541
388.585	772.032	0.005	-3.229
388.523	772.155	0.005	-2.929
388.461	772.279	0.006	-2.639
388.399	772.402	0.006	-2.357
388.337	772.526	0.006	-2.081
388.274	772.649	0.006	-1.813
388.212	772.773	0.006	-1.552
388.150	772.896	0.006	-1.297
388.088	773.020	0.006	-1.048
388.026	773.144	0.006	-0.807
387.964	773.267	0.006	-0.574
387.902	773.391	0.006	-0.348
387.840	773.515	0.006	-0.131
387.778	773.639	0.007	0.076
387.716	773.763	0.007	0.273
387.654	773.887	0.007	0.459
387.592	774.011	0.007	0.634
387.530	774.135	0.007	0.798
387.467	774.259	0.007	0.952
387.405	774.383	0.007	1.095
387.343	774.507	0.007	1.228
387.281	774.631	0.007	1.345
387.219	774.755	0.007	1.370
387.157	774.879	0.007	1.303
387.095	775.004	0.007	1.220
387.033	775.128	0.006	1.129
386.971	775.252	0.006	1.034
386.909	775.377	0.006	0.934
386.847	775.501	0.006	0.831
386.785	775.626	0.006	0.725
386.722	775.750	0.006	0.616
386.660	775.875	0.006	0.504
386.598	775.999	0.006	0.391
386.536	776.124	0.005	0.276
386.474	776.249	0.006	0.159
386.412	776.373	0.006	0.041
386.350	776.498	0.006	-0.077
386.288	776.623	0.006	-0.196
