[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
401.435	226.572	283.913	218.799	217.064
401.373	218.601	283.234	219.355	217.553
401.311	286.570	282.603	219.916	218.043
401.249	228.084	282.036	220.483	218.532
401.187	307.681	281.547	221.055	219.021
401.125	367.963	281.147	221.631	219.510
401.063	245.009	280.846	222.211	220.000
401.001	238.686	280.652	222.794	220.489
400.939	242.299	280.565	223.377	220.978
400.877	215.225	280.584	223.959	221.467
400.815	352.487	280.703	224.540	221.957
400.753	390.380	280.913	225.116	222.446
400.690	182.308	281.202	225.687	222.935
400.628	281.642	281.556	226.253	223.424
400.566	195.221	281.959	226.813	223.914
400.504	402.525	282.398	227.366	224.403
400.442	275.114	282.859	227.913	224.892
400.380	218.805	283.327	228.454	225.381
400.318	260.587	283.791	228.989	225.871
400.256	227.559	284.240	229.519	226.360
400.194	233.230	284.665	230.043	226.849
400.132	255.002	285.057	230.562	227.338
400.070	314.354	285.408	231.076	227.828
400.008	304.672	285.713	231.586	228.317
399.946	222.886	285.967	232.090	228.806
399.883	249.445	286.167	232.589	229.295
399.821	228.246	286.311	233.084	229.785
399.759	228.183	286.397	233.573	230.274
399.697	383.657	286.428	234.056	230.763
399.635	258.391	286.404	234.534	231.252
399.573	257.794	286.331	235.004	231.742
399.511	210.024	286.214	235.468	232.231
399.449	388.787	286.063	235.923	232.720
399.387	232.311	285.886	236.371	233.209
399.325	262.594	285.697	236.809	233.699
399.263	335.188	285.511	237.238	234.188
399.201	224.339	285.344	237.659	234.677
399.138	307.792	285.211	238.072	235.166
399.076	326.995	285.128	238.479	235.656
399.014	315.453	285.104	238.884	236.145
398.952	215.892	285.148	239.289	236.634
398.890	334.957	285.259	239.698	237.123
398.828	307.324	285.433	240.112	237.613
398.766	237.911	285.663	240.535	238.102
398.704	155.433	285.937	240.966	238.591
398.642	304.447	286.244	241.406	239.080
398.580	246.707	286.575	241.856	239.570
398.518	346.435	286.919	242.314	240.059
398.456	227.326	287.269	242.780	240.548
398.394	313.375	287.619	243.253	241.037
398.331	281.836	287.965	243.732	241.527
398.269	247.393	288.306	244.217	242.016
398.207	236.258	288.640	244.706	242.505
398.145	290.334	288.968	245.200	242.995
398.083	371.018	289.291	245.698	243.484
398.021	264.802	289.612	246.199	243.973
397.959	313.065	289.934	246.704	244.462
397.897	247.821	290.260	247.211	244.952
397.835	198.624	290.596	247.720	245.441
397.773	292.924	290.943	248.231	245.930
397.711	213.725	291.307	248.744	246.419
397.649	278.974	291.690	249.258	246.909
397.586	325.736	292.096	249.774	247.398
397.524	298.314	292.528	250.291	247.887
397.462	181.275	292.987	250.808	248.376
397.400	399.147	293.474	251.326	248.866
397.338	260.412	293.989	251.845	249.355
397.276	310.903	294.531	252.364	249.844
397.214	289.674	295.098	252.883	250.333
397.152	148.590	295.687	253.402	250.823
397.090	281.376	296.294	253.921	251.312
397.028	231.404	296.912	254.440	251.801
396.966	177.342	297.536	254.959	252.290
396.904	197.813	298.158	255.478	252.780
396.842	177.379	298.770	255.996	253.269
396.779	282.904	299.362	256.513	253.758
396.717	270.866	299.925	257.031	254.247
396.655	356.416	300.447	257.547	254.737
396.593	209.427	300.917	258.064	255.226
396.531	323.440	301.325	258.580	255.715
396.469	226.159	301.659	259.095	256.204
396.407	257.248	301.906	259.611	256.694
396.345	250.988	302.055	260.126	257.183
396.283	276.488	302.095	260.640	257.672
396.221	257.636	302.015	261.155	258.161
396.159	322.674	301.805	261.669	258.651
396.097	330.017	301.455	262.184	259.140
396.034	241.352	300.957	262.699	259.629
395.972	381.922	300.303	263.214	260.118
395.910	215.646	299.488	263.731	260.608
395.848	430.303	298.506	264.248	261.097
395.786	270.352	297.355	264.768	261.586
395.724	241.110	296.035	265.290	262.075
395.662	322.291	294.545	265.816	262.565
395.600	293.893	292.892	266.348	263.054
395.538	202.773	291.084	266.888	263.543
395.476	334.906	289.135	267.443	264.032
395.414	283.179	287.074	268.022	264.522
